prompt_id,category,prompt,gold_letter
11,Appreciation,පුහුණු වැඩසටහනක් සාර්ථකව පැවැත්වීමට සහාය වූ සම්පත් දායකයාට ස්තුති ලිපියක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

ආචාර්ය සුනිල් ශාන්ත මහතා,

ජ්‍යෙෂ්ඨ කථිකාචාර්ය,

කැලණිය විශ්වවිද්‍යාලය.

ගරු ආචාර්යතුමනි,

විෂය: නායකත්ව පුහුණු වැඩසටහන් සම්පත් දායකත්වය වෙනුවෙන් ස්තුති කිරීම

අප ආයතනය මගින් 2026 ඔක්තෝබර් 10 වන දින පවත්වන ලද 'ඵලදායී නායකත්වය සහ කළමනාකරණය' පිළිබඳ එක්දින වැඩමුළුවේ ප්‍රධාන සම්පත් දායකයා ලෙස සහභාගී වීම පිළිබඳව අපගේ හෘදයාංගම ස්තුතිය පුද කරමු.

ඔබ විසින් ඉදිරිපත් කරන ලද දේශනය සහ ප්‍රායෝගික ක්‍රියාකාරකම් අපගේ කාර්ය මණ්ඩලයේ වෘත්තීය කුසලතා වර්ධනය කර ගැනීමට මහත් පිටිවහලක් විය.

ඉදිරියේදීද ඔබගේ මෙවැනි වටිනා දායකත්වයන් අප වෙත ලබා ගැනීමට බලාපොරොත්තු වන්නෙමු.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
12,Request,අසනීප තත්ත්වයක් හේතුවෙන් දින තුනක නිවාඩුවක් ඉල්ලීමට කළමනාකරුට ලිපියක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

ප්‍රධාන කළමනාකාරතුමා,

ලංකා හෝල්ඩින්ග්ස් සමාගම,

කොළඹ 02.

මහත්මයාණනි,

විෂය: අසනීප තත්ත්වය හේතුවෙන් දින 03 ක නිවාඩුවක් අනුමත කර ගැනීම

මම ඔබ ආයතනයේ ගිණුම් අංශයේ කාර්යාල සහකාර ලෙස සේවය කරමි.

මා හදිසියේ වැළඳුණු දැඩි උණ රෝගී තත්ත්වයක් හේතුවෙන් වෛද්‍ය උපදෙස් මත 2026 ඔක්තෝබර් 12 දින සිට 14 දින දක්වා දින තුනක් සේවයට වාර්තා කිරීමට නොහැකි විය.

එබැවින් අදාළ දින තුන සඳහා මාගේ හිඟ නිවාඩු අනුමත කර දෙන ලෙස ගෞරවයෙන් ඉල්ලා සිටිමි. වෛද්‍ය සහතිකය මෙයට අමුණා ඇත.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
13,General,වැඩමුළුවක සහභාගීත්ව සහතිකයක් ලබා ගැනීමට සංවිධායක මණ්ඩලයට නිල ලිපියක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

සංවිධායක මණ්ඩලය,

ජාතික කළමනාකරණ සංවර්ධන ආයතනය,

කොළඹ 07.

මහත්මයාණනි,

විෂය: ව්‍යාපෘති කළමනාකරණ වැඩමුළුවේ සහභාගීත්ව සහතිකය ලබා ගැනීම

ඔබ ආයතනය මගින් 2026 අගෝස්තු මස 15 සහ 16 යන දිනවල පවත්වන ලද 'Project Management Essentials' දෙදින වැඩමුළුව සඳහා මම සාර්ථකව සහභාගී වූවමි.

එතෙක් මා වෙත එම වැඩමුළුවට අදාළ සහභාගීත්ව සහතිකය (Certificate of Participation) ලැබී නොමැති බව කාරුණිකව දැනුම් දෙමි.

මාගේ වෘත්තීය ලිපිගොනුව යාවත්කාලීන කිරීම සඳහා එම සහතිකය ලබා දීමට කටයුතු කරන ලෙස ගෞරවයෙන් ඉල්ලා සිටිමි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
14,Request,අපගේ ග්‍රාමයේ ප්‍රධාන මාර්ගයේ වීදි ලාම්පු අලුත්වැඩියා කර දෙන ලෙස ප්‍රාදේශීය සභාවෙන් ඉල්ලීමට ලිපියක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

ලේකම්තුමා,

ප්‍රාදේශීය සභාව,

කොළඹ 03.

මහත්මයාණනි,

විෂය: ගාලු පාර (නො. 45 ආසන්නයේ) වීදි ලාම්පු අලුත්වැඩියා කර දෙන ලෙස ඉල්ලීම

අප ග්‍රාම නිලධාරී වසමේ ප්‍රධාන මාර්ගය වන ගාලු පාර නො. 45 ආසන්නයේ පිහිටි වීදි ලාම්පු කිහිපයක් පසුගිය සති දෙක පුරා අක්‍රීයව පවතී.

මෙමගින් රාත්‍රී කාලයට මාර්ගය අඳුරේ පැවතීම නිසා මගී ජනතාවට සහ වාහන පදවන්නන්ට දැඩි අපහසුතාවන්ට මුහුණ දීමට සිදු වන අතර අනතුරු සිදුවීමේ අවදානමද වැඩි වී ඇත.

එබැවින් ප්‍රදේශවාසීන්ගේ ආරක්ෂාව තහවුරු කිරීම පිණිස අදාළ වීදි ලාම්පු හැකි ඉක්මනින් අලුත්වැඩියා කර දෙන ලෙස ගෞරවයෙන් ඉල්ලා සිටිමි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
15,Application,කාර්යාල සහකාර තනතුරක් සඳහා පුවත්පත් දැන්වීමකට අනුව රැකියා අයදුම්පත් ලිපියක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

මානව සම්පත් කළමනාකරු,

සෙලින්කෝ ඉන්ෂුවරන්ස් ආයතනය,

කොළඹ 01.

මහත්මයාණනි,

විෂය: කාර්යාල සහකාර තනතුර සඳහා අයදුම් කිරීම

2026 ඔක්තෝබර් 10 වන දින 'දිනමිණ' පුවත්පතේ පළ කර තිබූ දැන්වීමට අනුව ඔබ ආයතනයේ කාර්යාල සහකාර තනතුර සඳහා අයදුම් කිරීමට කැමැත්තෙමි.

මම අ.පො.ස. (උසස් පෙළ) සමත් වී ඇති අතර පරිගණක මෙහෙයුම් පිළිබඳ සාර්ථක පුහුණුවක්ද ලබා ඇත්තෙමි. පෞද්ගලික ආයතනයක අවුරුදු 2 ක සේවා පළපුරුද්දක්ද මට ඇත.

මාගේ අධ්‍යාපනික හා වෘත්තීය සුදුසුකම් ඇතුළත් ජීවදත්ත සටහන මෙයට අමුණා ඇති අතර සම්මුඛ පරීක්ෂණයක් සඳහා මා කැඳවන ලෙස ගෞරවයෙන් ඉල්ලා සිටිමි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
16,Complaint,මාසයක් පුරා අක්‍රියව පවතින අන්තර්ජාල සම්බන්ධතාවය පිළිබඳ සේවා සපයන ආයතනයට පැමිණිලි ලිපියක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

සේවා කළමනාකරු,

ශ්‍රී ලංකා ටෙලිකොම් ආයතනය,

කොළඹ 01.

මහත්මයාණනි,

විෂය: ගිණුම් අංක 0112345678 හි අක්‍රීය අන්තර්ජාල සම්බන්ධතාවය පිළිබඳ පැමිණිල්ල

මාගේ නිවසේ භාවිතා කරනු ලබන ඉහත ගිණුම් අංකයට අදාළ බ්‍රෝඩ්බෑන්ඩ් අන්තර්ජාල සම්බන්ධතාවය පසුගිය මාසය පුරා සම්පූර්ණයෙන්ම අක්‍රීයව පැවැති බව කාරුණිකව දැනුම් දෙමි.

මේ පිළිබඳව ඔබ ආයතනයේ ක්ෂණික ඇමතුම් අංකයට කිහිප වරක් පැමිණිලි කළද මෙතෙක් කිසිදු සාධනීය විසඳුමක් ලැබී නොමැත. නමුත් අදාළ මාසය සඳහා වන බිල්පත ලැබී ඇත.

එබැවින් අක්‍රීය වී ඇති අන්තර්ජාල සම්බන්ධතාවය වහාම ක්‍රියාත්මක කිරීමට කටයුතු කරන ලෙසත්, අපහසුතාවයට පත් වූ කාල සීමාව සඳහා සහනයක් ලබා දෙන ලෙසත් ඉල්ලා සිටිමි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
17,Complaint,මහජන බස් සේවාවේ නියමිත වේලාවන් නොපිළිපැදීම පිළිබඳ ප්‍රවාහන අධිකාරියට පැමිණිල්ලක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

ජ්‍යෙෂ්ඨ අධ්‍යක්ෂතුමා,

ජාතික ගමනාගමන කොමිෂන් සභාව,

නාරාහේන්පිට, කොළඹ 05.

මහත්මයාණනි,

විෂය: 138 පිටකොටුව - මහරගම බස් මාර්ගයේ කාලසටහන් නොපිළිපැදීම පිළිබඳ පැමිණිල්ල

138 පිටකොටුව - මහරගම මාර්ගයේ ධාවනය වන පෞද්ගලික බස් රථ පෙ.ව. 7.00 සිට පෙ.ව. 8.30 දක්වා වූ කාර්යාල වේලාවන්හිදී නියමිත කාලසටහනට අනුව ධාවනය නොවන බව කාරුණිකව දැනුම් දෙමි.

බස් රථ දීර්ඝ වේලාවක් නැවතුම්පොළවල නවත්වා තැබීම නිසා රැකියාවලට සහ පාසල්වලට යන මහජනතාව දැඩි අපහසුතාවයට පත් වෙති.

එබැවින් මෙම මාර්ගයේ නියමිත කාලසටහනට අනුව බස් රථ ධාවනය කරවීමට අවශ්‍ය නීතිමය පියවර ගන්නා ලෙස ගෞරවයෙන් ඉල්ලා සිටිමි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
18,Complaint,මිලදී ගත් විදුලි උපකරණයක් දෝෂ සහිත වීම පිළිබඳ වෙළඳසැලට පැමිණිලි ලිපියක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

සාමාන්‍යාධිකාරීතුමා,

සිංගර් ශ්‍රී ලංකා ප්‍රධාන ශාඛාව,

කොළඹ 02.

මහත්මයාණනි,

විෂය: මිලදී ගත් ශීතකරණයේ දෝෂ සහිත බව පිළිබඳ පැමිණිලි කිරීම

මම 2026 ඔක්තෝබර් මස 01 වන දින ඔබ ආයතනයෙන් රු. 120,000/- ක වටිනා ශීතකරණයක් (ඉන්වොයිස් අංක: INV-9876) මිලදී ගත්තෙමි.

නමුත් එය නිවසට ගෙනවිත් සවිකර දින දෙකක් ඇතුළත එහි සිසිල් කිරීමේ පද්ධතියේ දෝෂයක් මතුවූ අතර, දැනට එය සම්පූර්ණයෙන් අක්‍රීයව පවතී. අදාළ වගකීම් සහතිකය (Warranty Card) සතුව ඇත.

එබැවින් අදාළ දෝෂ සහිත ශීතකරණය පරීක්ෂා කර අලුත්වැඩියා කර දීමට හෝ නව ශීතකරණයක් ලබා දීමට කටයුතු කරන ලෙස ඉල්ලා සිටිමි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
19,Complaint,ප්‍රදේශයේ කසළ එකතු කිරීම ප්‍රමාද වීම පිළිබඳ නගර සභාවට පැමිණිල්ලක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

නගර සභා කොමසාරිස්තුමා,

කොළඹ මහා නගර සභාව,

කොළඹ 07.

මහත්මයාණනි,

විෂය: කොළඹ 03 ගාලු පාර ප්‍රදේශයේ කසළ එකතු කිරීම ප්‍රමාද වීම පිළිබඳ පැමිණිල්ල

අප ප්‍රදේශයේ (කොළඹ 03, ගාලු පාර අසල) ගෘහස්ථ කසළ එකතු කිරීමේ නගර සභා ට්‍රැක්ටර් රථය පසුගිය දින 10 පුරා පැමිණ නොමැති බව කාරුණිකව දැනුම් දෙමි.

මේ හේතුවෙන් මාර්ග දෙපස කසළ ගොඩගැසී දැඩි දුර්ගන්ධයක් හමන අතර, මදුරුවන් සහ සතුන් බෝවීමේ සෞඛ්‍ය තර්ජනයක්ද මතුවී ඇත.

එබැවින් මහජන සෞඛ්‍යය සුරක්ෂිත කිරීම උදෙසා වහාම ක්‍රියාත්මක වන පරිදි අදාළ ප්‍රදේශයේ කසළ ඉවත් කිරීමට කටයුතු සම්පාදනය කරන ලෙස ගෞරවයෙන් ඉල්ලා සිටිමි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
20,Appreciation,ග්‍රාමීය පාර අලුත්වැඩියා කිරීමට සහාය වූ ප්‍රාදේශීය සභාවට ස්තුති ලිපියක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

සභාපතිතුමා,

ප්‍රාදේශීය සභාව,

කොළඹ 03.

මහත්මයාණනි,

විෂය: ග්‍රාමීය මාර්ගය කාපට් අතුරා අලුත්වැඩියා කර දීම පිළිබඳ ස්තුතිය

අප ග්‍රාමයේ බොහෝ කලක් පොතුවැටී අබලන්ව පැවැති අතුරු මාර්ගය අලුත්වැඩියා කර කාපට් අතුරා සංවර්ධනය කර දීම පිළිබඳව ප්‍රදේශවාසීන් වෙනුවෙන් අපගේ හෘදයාංගම ස්තුතිය පුද කරමු.

ඔබ ආයතනයේ මැදිහත්වීම නිසා ප්‍රදේශවාසීන්ට සහ පාසල් දූ දරුවන්ට ආරක්ෂිතව සහ පහසුවෙන් ගමනාගමන කටයුතු කිරීමට අවස්ථාව සැලසුණි.

ප්‍රදේශයේ සංවර්ධනය වෙනුවෙන් ඔබ ඉටු කරන සේවය අගය කරන අතර ඉදිරියටද මෙවැනි සේවාවන් අපේක්ෂා කරමු.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
21,Inquiry,බැංකු ණය පහසුකම් පිළිබඳ වැඩි විස්තර ලබා ගැනීමට විමසීම් ලිපියක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

ශාඛා කළමනාකාරතුමා,

ලංකා බැංකුව,

කොළඹ 03 ශාඛාව.

මහත්මයාණනි,

විෂය: නිවාස ණය පහසුකම් පිළිබඳ තොරතුරු ලබා ගැනීම

ඔබ බැංකුව මගින් ලබා දෙන නිවාස ණය (Housing Loans) පහසුකම පිළිබඳ වැඩිදුර තොරතුරු ලබා ගැනීමට කැමැත්තෙමි.

ණය මුදලක් ලබා ගැනීමේදී අනුගමනය කළ යුතු පටිපාටිය, පවතින පොලී අනුපාතික, ඇපකර අවශ්‍යතා සහ අවශ්‍ය වන ලේඛන පිළිබඳ විස්තර මා වෙත ලබා දෙන්නේ නම් ඉතා අගය කොට සලකමි.

මේ පිළිබඳ විස්තර පත්‍රිකාවක් මාගේ ලිපිනයට යොමු කරන්නේ නම් මැනවි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
22,Inquiry,"පුහුණු වැඩසටහනක දිනය, කාලය, සහ ලියාපදිංචි වීම පිළිබඳ විමසීමට ලිපියක් ලියන්න.","කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

අධ්‍යාපන අධ්‍යක්ෂතුමා,

ජාතික ව්‍යාපාර කළමනාකාරීත්ව ආයතනය (NBM),

කොළඹ 07.

මහත්මයාණනි,

විෂය: ව්‍යාපාර කළමනාකරණ සහතිකපත්‍ර පාඨමාලාවේ තොරතුරු විමසීම

ඔබ ආයතනය මගින් පැවැත්වීමට නියමිත ව්‍යාපාර කළමනාකරණ සහතිකපත්‍ර පාඨමාලාව සඳහා සම්බන්ධ වීමට මම අපේක්ෂා කරමි.

එම පාඨමාලාව ආරම්භ වන දිනය, පන්ති පැවැත්වන වේලාවන්, පාඨමාලා ගාස්තු සහ ලියාපදිංචි වීමේ අවසාන දිනය පිළිබඳ විස්තර දැනුම් දෙන ලෙස ගෞරවයෙන් ඉල්ලා සිටිමි.

අදාළ අයදුම්පතක් සහ විස්තර පත්‍රිකාවක් මාගේ විද්‍යුත් තැපෑලට යොමු කරන්නේ නම් අගය කරමි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
23,Invitation,පාසලේ වාර්ෂික ත්‍යාග ප්‍රදානෝත්සවයට ප්‍රධාන ආරාධිත අමුත්තා ලෙස සහභාගී වන ලෙස කලාප අධ්‍යාපන අධ්‍යක්ෂතුමාට ආරාධනා ලිපියක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

කලාප අධ්‍යාපන අධ්‍යක්ෂතුමා,

කලාප අධ්‍යාපන කාර්යාලය,

කොළඹ 07.

ගරු කලාප අධ්‍යාපන අධ්‍යක්ෂතුමනි,

විෂය: වාර්ෂික ත්‍යාග ප්‍රදානෝත්සවයේ ප්‍රධාන ආරාධිත අමුත්තා ලෙස සහභාගී වීමට ආරාධනා කිරීම

අප පාසලේ 2026 වාර්ෂික ත්‍යාග ප්‍රදානෝත්සවය 2026 නොවැම්බර් මස 20 වන දින පෙ.ව. 9.00 ට පාසල් ප්‍රධාන ශාලාවේදී පැවැත්වීමට කටයුතු යොදා ඇත.

සිසු දැරියන්ගේ කුසලතා ඇගයීමට ලක් කරන මෙම උත්සවයේ ප්‍රධාන ආරාධිත අමුත්තා ලෙස සහභාගී වී සිසුන්ට සහතිකපත් හා ත්‍යාග ප්‍රදානය කිරීමට පැමිණෙන ලෙස ඔබට ගෞරවයෙන් ආරාධනා කර සිටිමු.

ඔබගේ පැමිණීම අප පාසලට මහත් ගෞරවයක් හා ආලෝකයකි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
24,Invitation,සෞඛ්‍ය දැනුවත් කිරීමේ වැඩසටහනකට වෛද්‍ය නිලධාරීතුමාට ආරාධනා ලිපියක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

ප්‍රාදේශීය සෞඛ්‍ය සේවා අධ්‍යක්ෂතුමා,

සෞඛ්‍ය වෛද්‍ය නිලධාරී කාර්යාලය,

කොළඹ 03.

ගරු වෛද්‍ය නිලධාරීතුමනි,

විෂය: සෞඛ්‍ය දැනුවත් කිරීමේ සම්මන්ත්‍රණයේ දේශක ලෙස සහභාගී වීමට ආරාධනා කිරීම

අප ග්‍රාමීය සංවර්ධන සමිතිය මගින් සංවිධානය කරනු ලබන 'බෝනොවන රෝගවලින් ආරක්ෂා වෙමු' තේමාව කරගත් සෞඛ්‍ය සම්මන්ත්‍රණය 2026 නොවැම්බර් 15 වන දින පෙ.ව. 9.30 ට ප්‍රජා ශාලාවේදී පැවැත්වේ.

මෙම වැඩසටහනේ ප්‍රධාන දේශක ලෙස සහභාගී වී ප්‍රදේශවාසීන් දැනුවත් කරන ලෙස ඔබට ගෞරවයෙන් ආරාධනා කරමු.

ඔබගේ වටිනා කාලය සහ දැනුම අප ප්‍රජාව වෙනුවෙන් ලබා දෙන ලෙස ඉල්ලා සිටිමු.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
25,Recommendation,උසස් අධ්‍යාපන අවස්ථාවක් සඳහා ශිෂ්‍යයෙකු නිර්දේශ කරන ලිපියක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

පීඨාධිපතිතුමා,

පරිගණක පීඨය,

කොළඹ විශ්වවිද්‍යාලය.

ගරු පීඨාධිපතිතුමනි,

විෂය: පශ්චාත් උපාධි පාඨමාලාව සඳහා කේ. ඒ. පසිඳු පෙරේරා මහතා නිර්දේශ කිරීම

ඔබ විශ්වවිද්‍යාලයේ පැවැත්වෙනු ලබන M.Sc. in Computer Science පශ්චාත් උපාධි පාඨමාලාව සඳහා අයදුම් කර ඇති කේ. ඒ. පසිඳු පෙරේරා මහතා නිර්දේශ කරමින් මෙම ලිපිය නිකුත් කරමි.

ඔහු මාගේ අධීක්ෂණය යටතේ ප්‍රථම උපාධිය හදාරන කාලය තුළ දීප්තිමත් හා කැපවීමෙන් කටයුතු කළ ශිෂ්‍යයකු විය. ඔහුගේ ශාස්ත්‍රීය කුසලතා සහ පර්යේෂණ හැකියාවන් උසස් මට්ටමක පවතී.

එබැවින් ඔහු මෙම පශ්චාත් උපාධි පාඨමාලාව සඳහා ඉතා සුදුසු ශිෂ්‍යයකු ලෙස බියෙන් තොරව නිර්දේශ කරමි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
26,Recommendation,රැකියා අවස්ථාවක් සඳහා හිටපු සේවකයෙකු නිර්දේශ කරන නිල ලිපියක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

මානව සම්පත් අධ්‍යක්ෂතුමා,

ඩයලොග් ආසියාටා සමාගම,

කොළඹ 02.

මහත්මයාණනි,

විෂය: එච්. එම්. සුනිල් ශාන්ත මහතා රැකියා අවස්ථාවක් සඳහා නිර්දේශ කිරීම

ඔබ ආයතනයේ 'Senior Software Engineer' තනතුර සඳහා අයදුම් කර ඇති එච්. එම්. සුනිල් ශාන්ත මහතා පිළිබඳ නිර්දේශ ලිපිය මෙයින් ඉදිරිපත් කරමි.

ඔහු පසුගිය වසර 3 පුරා මාගේ ආයතනයේ මෘදුකාංග ඉංජිනේරුවරයකු ලෙස සේවය කළ අතර, ඉතා වගකීම් සහගතව සහ කාර්යක්ෂමව රාජකාරි ඉටු කළ සේවකයෙකි. ඔහුගේ තාක්ෂණික දැනුම සහ කණ්ඩායම් හැඟීම උසස් මට්ටමක පවතී.

ඔහු ඔබ ආයතනයට මහත් සම්පතක් වනු ඇති බවට විශ්වාසයෙන් නිර්දේශ කරමි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
27,Transfer,පවුල් හේතුවක් නිසා සේවා ස්ථාන මාරුවක් ඉල්ලීමට දෙපාර්තමේන්තු ප්‍රධානියාට ලිපියක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

දෙපාර්තමේන්තු ප්‍රධානියා,

රාජ්‍ය පරිපාලන දෙපාර්තමේන්තුව,

කොළඹ 07.

මහත්මයාණනි,

විෂය: පවුලේ අසනීප තත්ත්වයක් මත ස්ථාන මාරුවක් ලබා දෙන ලෙස ඉල්ලීම

මම ඔබ දෙපාර්තමේන්තුවේ කොළඹ ප්‍රධාන කාර්යාලයේ ජ්‍යෙෂ්ඨ කළමනාකරණ සහකාර ලෙස සේවය කරමි.

මාගේ මහලු මව්පියන් දැඩි ලෙස අසනීපව ගාල්ල ප්‍රදේශයේ පදිංචිව සිටින අතර ඔවුන්ගේ උපස්ථාන කටයුතු සඳහා මාගේ නිරන්තර අවධානය අවශ්‍යව ඇත. දැනට මට සේවයට වාර්තා කිරීමට සිදු වී ඇත්තේ නිවසේ සිට බොහෝ ඈතක සිටය.

එබැවින් මාගේ මානුෂීය හේතුව සලකා බලා ගාල්ල දිස්ත්‍රික් කාර්යාලය වෙත මාරුවක් ලබා දෙන ලෙස ගෞරවයෙන් ඉල්ලා සිටිමි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
28,Transfer,දුරස්ථ සේවා ස්ථානයක සිට නිවසට ආසන්න ශාඛාවකට මාරුවක් ඉල්ලන ලිපියක් ලියන්න.,"කේ. ඒ. නිමල් පෙරේරා

නො. 45, ගාලු පාර,

කොළඹ 03.

දුර: 077-1234567

විද්‍යුත් තැපෑල: nimal.perera@email.com

2026 ඔක්තෝබර් 15

මානව සම්පත් කළමනාකරු,

මහජන බැංකුව,

ප්‍රධාන කාර්යාලය, කොළඹ 02.

මහත්මයාණනි,

විෂය: නිවසට ආසන්න කොළඹ 03 ශාඛාව වෙත සේවා ස්ථාන මාරුවක් ඉල්ලීම

මම දැනට මහජන බැංකුවේ අවිස්සාවේල්ල ශාඛාවේ බැංකු සහකාරවරයකු ලෙස වසර 4 කට ආසන්න කාලයක් සේවය කරමි.

මාගේ පදිංචිය කොළඹ 03 වන අතර දිනපතා දීර්ඝ දුරක් ගමනාගමනය කිරීම නිසා අධික වෙහෙසක් සහ ප්‍රවාහන අපහසුතාවක් මතුවේ.

එබැවින් සේවා අවශ්‍යතාවයද සලකා බලා මාගේ නිවසට ආසන්න කොළඹ 03 ශාඛාව වෙත මාරුවක් ලබා දෙන ලෙස ගෞරවයෙන් ඉල්ලා සිටිමි.

මෙයට, විශ්වාසී,

...............................................

(කේ. ඒ. නිමල් පෙරේරා)"
